replica	frame	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	egb	epb	esurf	vdwaals	pb_tot	gb_tot
4	29.0	-480.8243	7.5989	21.552	5.8995	10.1512	3.0001	0.0	201.9358	-22.7445	-24.5613	0.0	-2.1035	-257.35159999999996	-258.5349
4	30.0	-477.8195	7.6315	20.7753	4.6647	10.1904	3.0601	0.0	203.7119	-26.2206	-27.9049	0.0	-3.331	-259.0215	-260.3973
4	31.0	-482.3015	8.9987	16.3255	8.6962	17.9182	2.9622	0.0	202.0496	-23.3562	-24.7932	0.0	-3.0099	-253.15419999999997	-254.6794
4	32.0	-483.5812	7.8356	17.9179	16.7435	13.353	3.0196	0.0	208.7246	-28.878	-31.1226	0.0	-3.7358	-250.8454	-251.6204
4	33.0	-483.7002	10.1542	19.6385	12.9902	12.3252	2.9995	0.0	209.6438	-27.6518	-29.9671	0.0	-3.0178	-248.9337	-249.61790000000002
4	34.0	-484.6325	6.8115	17.5399	10.9061	14.12	3.0263	0.0	209.2542	-27.4599	-29.3743	0.0	-3.7064	-256.0552	-257.1671
4	35.0	-477.2634	7.9143	12.4543	10.9013	13.2906	3.0549	0.0	201.1493	-26.3573	-27.8839	0.0	-3.4146	-259.7972	-261.3254999999999
4	36.0	-477.3353	8.8604	20.4733	8.8078	9.3675	3.0261	0.0	200.32	-23.8928	-25.3652	0.0	-3.247	-255.09240000000005	-256.64610000000005
4	37.0	-484.6246	8.2353	14.4733	6.8678	13.1303	3.0047	0.0	207.8534	-23.2714	-25.002	0.0	-3.0185	-259.0803	-260.3544
4	38.0	-481.6924	9.5097	15.2194	9.1088	15.4048	3.0225	0.0	201.7972	-24.1248	-26.5798	0.0	-0.7558	-254.96560000000002	-255.53310000000005
4	39.0	-481.6688	8.9582	14.3679	4.8484	8.5654	3.0357	0.0	208.5246	-28.2476	-30.4414	0.0	-2.7444	-266.5544	-267.3963
4	40.0	-477.9639	8.3281	17.7636	5.5352	11.8057	3.0064	0.0	202.19	-25.9843	-27.8418	0.0	-3.0057	-260.1824	-261.3313
5	1.0	-474.5449	8.1173	18.6421	3.9713	8.8366	2.9962	0.0	196.1945	-22.3049	-23.4611	0.0	-2.441	-261.68899999999996	-263.529
5	2.0	-482.5929	7.1618	21.8787	8.6959	11.522	3.0334	0.0	203.8855	-25.2375	-27.2835	0.0	-2.6198	-256.3189	-257.30629999999996
5	3.0	-475.8377	8.1679	16.4421	5.8896	14.3517	3.0101	0.0	198.1773	-24.0234	-25.0999	0.0	-3.3583	-258.2572	-260.19079999999997
5	4.0	-479.9852	6.9962	15.7711	7.0371	13.2275	3.0139	0.0	203.6441	-26.0601	-27.3154	0.0	-3.9557	-261.5664	-263.32500000000005
5	5.0	-480.5454	8.0465	22.4627	7.4263	8.6008	2.9935	0.0	201.0602	-24.386	-26.2081	0.0	-1.9429	-258.1064	-259.27779999999996
